# X,Y,Z
-13.125,83.438,-153.000
-12.753,83.672,-153.000
-12.284,83.672,-153.000
-11.816,83.672,-153.000
-11.347,83.672,-153.000
-10.878,83.672,-153.000
-10.409,83.672,-153.000
-9.940,83.672,-153.000
-9.471,83.672,-153.000
-9.002,83.672,-153.000
-8.534,83.672,-153.000
-8.065,83.672,-153.000
-7.596,83.672,-153.000
-7.127,83.672,-153.000
-6.658,83.672,-153.000
-6.189,83.672,-153.000
-5.720,83.672,-153.000
-5.252,83.672,-153.000
-4.783,83.672,-153.000
-4.314,83.672,-153.000
-3.845,83.672,-153.000
-3.376,83.672,-153.000
-3.004,83.438,-153.000
-2.536,83.438,-153.000
-2.067,83.438,-153.000
-1.598,83.438,-153.000
-1.158,83.314,-153.000
-0.739,83.104,-153.000
-0.303,82.949,-153.000
0.162,82.894,-153.000
0.628,82.840,-153.000
1.094,82.785,-153.000
1.559,82.730,-153.000
2.025,82.675,-153.000
2.491,82.621,-153.000
2.956,82.566,-153.000
3.422,82.511,-153.000
3.827,82.292,-153.000
4.217,82.032,-153.000
4.681,81.965,-153.000
5.145,81.899,-153.000
5.610,81.833,-153.000
6.064,81.725,-153.000
6.506,81.570,-153.000
6.949,81.416,-153.000
7.391,81.261,-153.000
7.834,81.106,-153.000
8.276,80.951,-153.000
8.719,80.796,-153.000
9.161,80.641,-153.000
9.604,80.486,-153.000
10.046,80.331,-153.000
10.489,80.177,-153.000
10.911,79.974,-153.000
11.331,79.764,-153.000
11.750,79.555,-153.000
12.169,79.345,-153.000
12.589,79.135,-153.000
13.008,78.926,-153.000
13.427,78.716,-153.000
13.847,78.506,-153.000
14.266,78.297,-153.000
14.686,78.087,-153.000
15.105,77.877,-153.000
15.524,77.668,-153.000
15.930,77.434,-153.000
16.325,77.182,-153.000
16.721,76.930,-153.000
17.117,76.679,-153.000
17.512,76.427,-153.000
17.908,76.175,-153.000
18.303,75.924,-153.000
18.699,75.672,-153.000
19.094,75.420,-153.000
19.490,75.168,-153.000
19.885,74.917,-153.000
20.281,74.665,-153.000
20.677,74.413,-153.000
21.053,74.135,-153.000
21.413,73.835,-153.000
21.773,73.535,-153.000
22.134,73.235,-153.000
22.494,72.935,-153.000
22.854,72.635,-153.000
23.214,72.335,-153.000
23.574,72.034,-153.000
23.914,71.711,-153.000
24.245,71.380,-153.000
24.577,71.048,-153.000
24.908,70.717,-153.000
25.240,70.385,-153.000
25.571,70.054,-153.000
25.903,69.722,-153.000
26.234,69.391,-153.000
26.566,69.059,-153.000
26.897,68.728,-153.000
27.229,68.396,-153.000
27.560,68.065,-153.000
27.892,67.733,-153.000
28.223,67.402,-153.000
28.555,67.070,-153.000
28.887,66.738,-153.000
29.218,66.407,-153.000
29.547,66.073,-153.000
29.828,65.698,-153.000
30.109,65.323,-153.000
30.391,64.948,-153.000
30.672,64.573,-153.000
30.953,64.198,-153.000
31.235,63.823,-153.000
31.516,63.447,-153.000
31.723,63.034,-153.000
31.871,62.589,-153.000
32.199,62.255,-153.000
32.530,61.923,-153.000
32.846,61.580,-153.000
33.074,61.170,-153.000
33.302,60.760,-153.000
33.529,60.350,-153.000
33.757,59.940,-153.000
33.985,59.531,-153.000
34.212,59.121,-153.000
34.440,58.711,-153.000
34.668,58.301,-153.000
34.896,57.891,-153.000
35.123,57.481,-153.000
35.351,57.072,-153.000
35.579,56.662,-153.000
35.806,56.252,-153.000
36.034,55.842,-153.000
36.262,55.432,-153.000
36.451,55.004,-153.000
36.626,54.569,-153.000
36.800,54.134,-153.000
36.974,53.698,-153.000
37.148,53.263,-153.000
37.322,52.828,-153.000
37.496,52.392,-153.000
37.670,51.957,-153.000
37.844,51.522,-153.000
38.019,51.086,-153.000
38.193,50.651,-153.000
38.367,50.216,-153.000
38.541,49.780,-153.000
38.715,49.345,-153.000
38.889,48.910,-153.000
39.063,48.474,-153.000
39.237,48.039,-153.000
39.412,47.604,-153.000
39.586,47.169,-153.000
39.708,46.716,-153.000
39.821,46.261,-153.000
39.935,45.807,-153.000
40.049,45.352,-153.000
40.226,44.920,-153.000
40.426,44.495,-153.000
40.625,44.071,-153.000
40.825,43.647,-153.000
41.025,43.223,-153.000
41.224,42.799,-153.000
41.424,42.374,-153.000
41.624,41.950,-153.000
41.823,41.526,-153.000
41.993,41.091,-153.000
42.107,40.636,-153.000
42.220,40.181,-153.000
42.334,39.726,-153.000
42.469,39.279,-153.000
42.675,38.858,-153.000
42.881,38.437,-153.000
43.087,38.016,-153.000
43.294,37.595,-153.000
43.500,37.174,-153.000
43.706,36.753,-153.000
43.912,36.332,-153.000
44.119,35.911,-153.000
44.325,35.490,-153.000
44.531,35.069,-153.000
44.737,34.648,-153.000
44.944,34.227,-153.000
45.150,33.805,-153.000
45.356,33.384,-153.000
45.562,32.963,-153.000
45.769,32.542,-153.000
45.975,32.121,-153.000
46.181,31.700,-153.000
46.387,31.279,-153.000
46.593,30.858,-153.000
46.800,30.437,-153.000
47.006,30.016,-153.000
47.212,29.595,-153.000
47.418,29.174,-153.000
47.625,28.753,-153.000
47.831,28.332,-153.000
48.037,27.911,-153.000
48.280,27.510,-153.000
48.524,27.110,-153.000
48.769,26.709,-153.000
49.013,26.309,-153.000
49.258,25.909,-153.000
49.502,25.509,-153.000
49.747,25.109,-153.000
49.991,24.709,-153.000
50.236,24.309,-153.000
50.480,23.909,-153.000
50.740,23.520,-153.000
51.023,23.146,-153.000
51.306,22.772,-153.000
51.589,22.398,-153.000
51.872,22.024,-153.000
52.155,21.650,-153.000
52.438,21.276,-153.000
